Sl No.,Bank Code,Bank Name,Branches
1,ABHY,ABHYUDAYA COOPERATIVE BANK LIMITED,112
2,AMCB,AHMEDABAD MERCANTILE COOPERATIVE BANK,35
3,AMDN,AHMEDNAGAR MERCHANTS CO-OP BANK LTD,19
4,AIRP,AIRTEL PAYMENTS BANK LIMITED,2
5,AKJB,AKOLA JANATA COMMERCIAL COOPERATIVE BANK,40
6,AUCB,ALMORA URBAN COOPERATIVE BANK LIMITED,51
7,AJHC,AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,19
8,APGV,ANDHRA PRADESH GRAMEENA VIKAS BANK,792
9,APGB,ANDHRA PRAGATHI GRAMEENA BANK,561
10,ASBL,APNA SAHAKARI BANK LIMITED,85
11,ARBL,ARVIND SAHAKARI BANK LTD,7
12,AUBL,AU SMALL FINANCE BANK LIMITED,464
13,ANZB,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,1
14,UTIB,AXIS BANK,5358
15,TBMC,BANASKANTHA MERCANTILE CO-OPERATIVE BANK LTD.,7
16,BDBL,BANDHAN BANK LIMITED,1178
17,BOFA,BANK OF AMERICA,4
18,BBKM,BANK OF BAHRAIN AND KUWAIT BSC,4
19,BARB,BANK OF BARODA,9565
20,BCEY,BANK OF CEYLON,2
21,BKID,BANK OF INDIA,5309
22,MAHB,BANK OF MAHARASHTRA,2060
23,BARC,BARCLAYS BANK,3
24,BACB,BASSEIN CATHOLIC COOPERATIVE BANK LIMITED,66
25,BNSB,BHAGINI NIVEDITA SAHAKARI BANK LTD PUNE,2
26,BCBM,BHARAT COOPERATIVE BANK MUMBAI LIMITED,103
27,BNPA,BNP PARIBAS,10
28,BMCB,BOMBAY MERCANTILE COOPERATIVE BANK LTD,53
29,CNRB,CANARA BANK,11139
30,CLBL,CAPITAL SMALL FINANCE BANK LIMITED,160
31,CBIN,CENTRAL BANK OF INDIA,4813
32,CITI,CITI BANK,42
33,CCBL,CITIZEN CREDIT COOPERATIVE BANK LIMITED,48
34,CIUB,CITY UNION BANK LIMITED,708
35,COAS,COASTAL LOCAL AREA BANK LTD,2
36,CRLY,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK CALYON BANK,6
37,CRES,CREDIT SUISEE AG,1
38,CSBK,CSB BANK LIMITED,644
39,CTCB,CTBC BANK CO LTD,2
40,DBSS,DBS BANK INDIA LIMITED,603
41,DCBL,DCB BANK LIMITED,366
42,DEOB,DEOGIRI NAGARI SAHAKARI BANK LTD. AURANGABAD,33
43,DEUT,DEUTSCHE BANK,30
44,DLXB,DHANALAKSHMI BANK,282
45,DMKJ,DMK JAOLI BANK,25
46,DOHB,DOHA BANK,5
47,DNSB,DOMBIVLI NAGARI SAHAKARI BANK LIMITED,72
48,DURG,DURGAPUR STEEL PEOPLES CO-OPERATIVE BANK LTD,6
49,EBIL,EMIRATES NBD BANK PJSC,2
50,ESFB,EQUITAS SMALL FINANCE BANK LIMITED,848
51,ESMF,ESAF SMALL FINANCE BANK LIMITED,557
52,FDRL,FEDERAL BANK,1396
53,FSFB,FINCARE SMALL FINANCE BANK LTD,1
54,FINO,FINO PAYMENTS BANK,57
55,NBAD,FIRST ABU DHABI BANK PJSC,1
56,FIRN,FIRSTRAND BANK LIMITED,2
57,PJSB,G P PARSIK BANK,93
58,MCBL,"GS Mahanagar Co-operative Bank Limited, Mumbai",71
59,HDFC,HDFC BANK,7394
60,HPSC,HIMACHAL PRADESH STATE COOPERATIVE BANK LTD,219
61,HSBC,HSBC BANK,31
62,ICIC,ICICI BANK LIMITED,5766
63,IBKL,IDBI BANK,3523
64,IDFB,IDFC FIRST BANK LTD,623
65,IDUK,IDUKKI DISTRICT CO OPERATIVE BANK LTD,55
66,IPOS,INDIA POST PAYMENT BANK,1
67,IDIB,INDIAN BANK,5890
68,IOBA,INDIAN OVERSEAS BANK,3369
69,INDB,INDUSIND BANK,1768
70,ICBK,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,1
71,IBKO,INDUSTRIAL BANK OF KOREA,1
72,ITBL,Irinjalakuda Town Co-Operative Bank Ltd,20
73,JJSB,JALGAON JANATA SAHAKARI BANK LIMITED,41
74,JAKA,JAMMU AND KASHMIR BANK LIMITED,1028
75,JSFB,JANA SMALL FINANCE BANK LTD,567
